what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.gef,3.7.0.v20110407-2050,"org.eclipse.gef",1494081864330
started,bundle,org.eclipse.papyrus.sasheditor,0.8.0.v201106151827,"org.eclipse.papyrus.sasheditor",1494081864336
started,bundle,org.eclipse.emf.transaction,1.4.0.v20100331-1738,"org.eclipse.emf.transaction",1494081864341
started,bundle,org.eclipse.gmf.runtime.diagram.ui,1.5.0.v20110309-2230,"org.eclipse.gmf.runtime.diagram.ui",1494081864342
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.200.I20110201-0800,"org.eclipse.ui.views.properties.tabbed",1494081864342
started,bundle,org.eclipse.papyrus.editor,0.8.0.v201106151827,"org.eclipse.papyrus.editor",1494081864343
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1494081864717
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1494081864828
started,bundle,org.eclipse.papyrus.layouttool,0.8.0.v201106151827,"org.eclipse.papyrus.layouttool",1494081864862
started,bundle,org.topcased.layouttool.subeditor.topcased,0.9.0.201107291408,"org.topcased.layouttool.subeditor.topcased",1494081864866
started,bundle,org.topcased.modeler,3.1.14.201107291408,"org.topcased.modeler",1494081864868
started,bundle,org.topcased.facilities,2.6.1.201107291408,"org.topcased.facilities",1494081864876
started,bundle,org.topcased.requirement.bundle.topcased,1.0.0.201107291409,"org.topcased.requirement.bundle.topcased",1494081864879
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1494081865009
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1494081865073
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1494081865429
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1494081868143
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1494081869290
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1494081870506
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494081875184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494081880987
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1494081882965
started,bundle,org.tigris.subversion.clientadapter.javahl,1.6.17,"org.tigris.subversion.clientadapter.javahl",1494081882983
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.6.15,"org.tigris.subversion.clientadapter.svnkit",1494081882986
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1494081899420
